KEY,PREF,CITY,KCITY,RCOM,AIRTEMP,PRECIP,WIND,SOC,SAND,pH,CEC,NSTOCK,SOILTEMP
2610701028,26,107,01,028,16.75,134.06,2.1,76.83,0.34,5.62,253.99,530.98,16.31
2610702001,26,107,02,001,16.76,134.74,2.13,78.31,0.33,5.64,259.2,519.66,16.82
2610702002,26,107,02,002,16.72,134.45,2.13,73.41,0.34,5.59,248.85,527.33,16.69
2610702003,26,107,02,003,16.74,134.64,2.12,70.95,0.35,5.57,243.68,531.16,16.62
2610702004,26,107,02,004,16.74,135.28,2.14,76.92,0.34,5.65,249.85,521.2,16.76
2610702005,26,107,02,005,16.73,134.46,2.12,85.0,0.33,5.8,247.67,506.67,16.92
2610702006,26,107,02,006,16.71,133.68,2.12,81.97,0.34,5.74,251.44,534.91,16.84
2610702007,26,107,02,007,16.74,134.83,2.13,80.08,0.33,5.7,252.24,515.84,16.83
2610801001,26,108,01,001,13.87,141.87,2.26,68.31,0.4,4.97,277.94,560.17,11.81
2610801002,26,108,01,002,16.09,134.61,2.19,64.4,0.37,5.3,262.6,525.8,15.68
2610801003,26,108,01,003,14.8,138.58,2.2,65.45,0.39,5.03,278.71,509.14,13.0
2610801004,26,108,01,004,15.98,137.64,2.16,65.0,0.37,5.25,268.5,526.5,16.17
2610801005,26,108,01,005,16.49,138.66,2.12,68.69,0.38,5.32,279.62,525.81,15.28
2610801006,26,108,01,006,16.67,136.99,2.11,70.02,0.38,5.28,275.05,528.49,15.22
2610801007,26,108,01,007,16.73,134.76,2.13,74.33,0.36,5.6,272.67,512.0,16.83
2610801008,26,108,01,008,16.76,135.12,2.13,75.41,0.36,5.55,275.59,512.0,16.83
2610801009,26,108,01,009,16.79,135.44,2.12,75.95,0.36,5.53,277.04,512.0,16.83
2610801010,26,108,01,010,16.72,135.12,2.14,69.95,0.37,5.55,269.04,513.75,16.48
2610801011,26,108,01,011,16.48,134.5,2.17,63.63,0.38,5.45,263.03,509.43,15.79
2610801012,26,108,01,012,15.9,136.41,2.18,64.5,0.38,5.55,262.5,515.5,16.13
2610801013,26,108,01,013,16.63,135.67,2.14,67.27,0.38,5.33,272.24,519.87,15.38
2610801014,26,108,01,014,16.84,135.77,2.09,70.94,0.38,5.28,272.8,528.12,15.14
2610801015,26,108,01,015,16.73,134.49,2.15,68.55,0.37,5.56,267.12,505.24,16.35
2610801016,26,108,01,016,16.77,135.19,2.13,72.14,0.37,5.49,273.48,514.4,16.38
2610801017,26,108,01,017,16.74,135.81,2.12,71.26,0.37,5.38,274.12,520.58,15.79
2610801018,26,108,01,018,16.8,135.97,2.11,73.96,0.36,5.47,275.78,514.75,16.46
2610801019,26,108,01,019,16.92,136.74,2.05,70.37,0.37,5.28,265.52,535.44,15.04
2610801020,26,108,01,020,16.88,137.38,2.07,73.61,0.36,5.42,273.27,520.73,16.11
2610801021,26,108,01,021,16.9,137.06,2.06,71.99,0.36,5.35,269.39,528.09,15.57
2610801022,26,108,01,022,16.9,137.06,2.06,71.99,0.36,5.35,269.39,528.09,15.57
2610801023,26,108,01,023,16.84,136.24,2.08,72.0,0.37,5.35,271.63,525.07,15.6
2610801024,26,108,01,024,15.4,134.55,2.24,62.55,0.37,5.14,265.79,518.29,14.01
2610801025,26,108,01,025,15.87,134.38,2.22,64.54,0.38,5.31,271.96,510.54,15.22
2610801026,26,108,01,026,16.63,134.4,2.18,62.0,0.38,5.5,264.0,487.0,15.56
2610801027,26,108,01,027,16.56,133.29,2.19,63.77,0.38,5.36,266.04,510.78,14.62
2610801028,26,108,01,028,16.53,133.16,2.17,68.5,0.39,5.53,271.0,519.67,14.94
2610801029,26,108,01,029,16.41,133.61,2.16,70.0,0.37,5.7,263.0,487.0,16.81
2610801030,26,108,01,030,15.57,130.91,2.22,62.04,0.37,5.26,263.37,518.15,13.95
2610801031,26,108,01,031,12.77,137.68,2.1,70.85,0.39,5.01,248.0,572.11,11.65
2610801032,26,108,01,032,12.5,136.73,2.15,75.66,0.4,4.96,272.51,581.26,10.71
2610801033,26,108,01,033,13.71,135.55,2.23,68.77,0.4,4.98,277.78,557.67,11.7
2610801034,26,108,01,034,16.83,136.02,2.11,76.5,0.36,5.5,278.5,512.0,16.84
2610801035,26,108,01,035,16.63,133.78,2.13,76.5,0.36,5.6,276.5,537.0,16.84
2610801036,26,108,01,036,16.79,136.93,2.1,73.19,0.36,5.57,264.94,522.93,16.66
2610801037,26,108,01,037,16.82,137.36,2.09,73.19,0.36,5.57,264.94,522.93,16.66
2610801038,26,108,01,038,16.86,137.68,2.08,73.03,0.35,5.46,267.01,530.41,15.95
2610801039,26,108,01,039,16.82,137.39,2.09,75.41,0.34,5.58,268.98,527.11,16.49
2610801040,26,108,01,040,16.81,137.48,2.1,75.16,0.34,5.65,265.55,521.5,16.77
2610802001,26,108,02,001,12.25,185.65,1.95,81.29,0.38,4.79,254.75,680.92,10.81
2610802002,26,108,02,002,12.69,178.83,1.98,82.09,0.38,4.95,255.29,687.2,11.19
2610802003,26,108,02,003,13.14,172.79,1.96,80.38,0.37,4.98,253.74,706.14,11.43
2610802004,26,108,02,004,12.64,169.2,1.99,80.1,0.37,5.04,264.04,683.92,11.16
2610802005,26,108,02,005,12.09,173.88,2.04,83.1,0.37,4.84,256.91,709.44,10.26
2610802006,26,108,02,006,11.47,172.89,2.1,84.27,0.37,4.77,269.8,750.25,9.84
2610803001,26,108,03,001,12.37,172.03,1.9,81.54,0.37,4.86,259.56,665.32,11.15
2610803002,26,108,03,002,12.86,164.27,1.88,77.58,0.36,5.02,263.65,659.52,11.64
2610803003,26,108,03,003,12.5,165.24,2.01,77.9,0.36,4.92,261.54,676.09,10.85
2610803004,26,108,03,004,13.06,158.18,1.93,75.02,0.36,4.96,255.29,677.33,11.69
2610803005,26,108,03,005,13.25,151.79,1.83,74.86,0.35,5.0,253.5,711.27,13.06
2610803006,26,108,03,006,13.25,150.07,1.95,76.07,0.36,4.98,263.01,692.12,11.24
2610803007,26,108,03,007,13.47,147.56,1.86,77.67,0.34,5.27,261.33,709.0,12.96
2610803008,26,108,03,008,13.49,148.09,1.83,74.47,0.36,4.95,251.9,713.52,12.8
